name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
American Philosophical Quarterly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003676470588235294,0.003472222222222222,0.003289473684210526,0.0055059523809523805,0.00977891156462585,0.011498917748917748,0.013172877846790889,0.012624007936507935,0.012119047619047618,0.014224310776942355,0.020540100250626567,0.022078561789088104,0.022078561789088104,0.03041189512242144,0.03276483629889203,0.03276483629889203,0.03476483629889203,0.04226483629889203,0.04226483629889203,0.046074360108415834,0.048296582330638056,0.048296582330638056,0.05137350540756113,0.055373505407561134,0.0626462326802884,0.06856728531186736,0.07523395197853402,0.0822927755079458,0.08249327676107863,0.0811837529515548,0.08594565771345959,0.08644565771345958,0.08644565771345958,0.09311232438012623,0.0910070612222315,0.08469127174854728,0.09648614354341908,0.11187075892803447,0.10661434867162421,0.12140426463801077,0.12140426463801077,0.12130902654277267,0.11780902654277266,0.11780902654277266,0.11399950273324887,0.11177728051102666
Analysis,0.0,0.0,0.0,0.02272727272727273,0.05818181818181819,0.04848484848484849,0.05743145743145744,0.06587752525252526,0.0585578002244669,0.05270202020202021,0.05617539026629936,0.05149410774410775,0.052057909410850596,0.04833948731007555,0.04511685482273718,0.04229705139631611,0.03980898954947398,0.03759737901894765,0.040881727491634615,0.04196264111705288,0.03996442011147894,0.04031235772545933,0.04045000568824654,0.0387645887845696,0.03721400523318682,0.04142453154897629,0.04675786488230962,0.04983478795923269,0.04619842432286907,0.04095704501252424,0.04255704501252424,0.0397126005680798,0.0397126005680798,0.043923126883869276,0.04700004996079235,0.045363686324428706,0.045363686324428706,0.04586788800510098,0.047406349543562515,0.048834920972133954,0.05001139156036924,0.05122351277249045,0.05364775519673287,0.05257458446502557,0.054329903613961734,0.056996570280628406,0.058091808375866485,0.05961798406353287,0.06314739582823875,0.0675918402726832,0.06921464729022704,0.06760224418945185,0.06638578622880784,0.0698945581586324,0.07559747593051569,0.07777106083617608,0.08009262946362705,0.07805559242659,0.07765458992032435,0.07826997453570897,0.07751997453570897,0.08239802331619678
Apeiron: A Journal for Ancient Philosophy and Science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.04,0.05333333333333333,0.05333333333333333,0.07333333333333333,0.07333333333333333,0.08933333333333333,0.09933333333333333,0.09933333333333333,0.106,0.13,0.13,0.15,0.15666666666666665,0.16166666666666665,0.16166666666666665,0.16166666666666665,0.18166666666666664,0.18166666666666664,0.18966666666666665,0.19633333333333333,0.19633333333333333,0.16966666666666666,0.16966666666666666,0.16966666666666666,0.16966666666666666,0.16966666666666666,0.15633333333333332,0.15633333333333332
Business & Professional Ethics Journal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666666,0.009743589743589744,0.012243589743589745,0.02113247863247863,0.031132478632478634,0.03684676434676435,0.04351343101343102,0.04351343101343102,0.050180097680097686,0.05418009768009769,0.058624542124542135,0.06362454212454213,0.06994033159822635,0.07301725467514943,0.0802899819478767,0.08734880547728846,0.09306309119157417,0.09750753563601862,0.10150753563601862,0.11381522794371093,0.1304818946103776,0.15333903746752045,0.17000570413418714,0.1747115864871283,0.1810273759608125,0.19436070929414584,0.19128378621722278,0.18878378621722278,0.17989489732833389,0.16989489732833388,0.16418061161404815
Business Ethics Quarterly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005714285714285714,0.012670807453416146,0.018731413514022206,0.026450711759636238,0.030200711759636237,0.039089600648525125,0.04261901241323101,0.047063456857675455,0.05373012352434212,0.06147205900821309,0.07036094789710198,0.07681256080032779,0.09135801534578233,0.09691357090133788,0.10758023756800456,0.10758023756800456,0.10758023756800456,0.10758023756800456,0.10758023756800456,0.10758023756800456
Canadian Journal of Philosophy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008888888888888889,0.011746031746031744,0.0146031746031746,0.018813700918964074,0.023613700918964073,0.023613700918964073,0.02571896407685881,0.0346078529657477,0.041274519632414366,0.05016340852130325,0.05939417775207248,0.05939417775207248,0.06606084441873915,0.06606084441873915,0.07177513013302486,0.07177513013302486,0.07677513013302487,0.08041149376938851,0.08041149376938851,0.0893003826582774,0.09430038265827739,0.1000146683725631,0.10401466837256311,0.12401466837256311,0.12801466837256312,0.13245911281700756,0.1296019699598647,0.12674482710272186,0.12253430078693237,0.12273430078693238,0.12273430078693238,0.12062903762903764,0.11974014874014875,0.11751792651792653,0.11170596070596073,0.10247519147519149,0.10247519147519149,0.09580852480852481
Classical Philology,0.0,0.0,0.0,0.019230769230769232,0.02967032967032967,0.024725274725274724,0.037066108494679915,0.04136141636141635,0.036765703432370095,0.040781440781440775,0.04464979464979464,0.04092897842897842,0.03778059547290316,0.04806899449756592,0.048568098568098565,0.04900481462981463,0.049390152331328804,0.056747265080598415,0.059608520134835925,0.05662809412809413,0.0589440495455533,0.06535568365711907,0.06976050900536027,0.07326407754039332,0.07700018110544427,0.08271446681972998,0.08692499313551945,0.09113551945130892,0.09605859637438587,0.09790733587018417,0.10261321822312536,0.10448456325236513,0.11273853150633338,0.11464329341109528,0.11464329341109529,0.11341522323565668,0.11341522323565668,0.11649214631257976,0.1149337047541382,0.11871148253191595,0.1235480838391055,0.12859858888961054,0.13606270372214643,0.14214457506717568,0.1535731464957471,0.15186262017995764,0.15562732606231053,0.15896065939564388,0.16511450554949003,0.16987641031139478,0.17679370354447752,0.18058317722868802,0.18780122234147,0.18837265091289856,0.18652391141710026,0.20181802906415908,0.20439112847936375,0.19328001736825265,0.20470858879682408,0.20963166571990105,0.20752640256200633,0.20752640256200633
Critical Inquiry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002666666666666667,0.013701149425287355,0.021108556832694764,0.024537128261266195,0.024537128261266195,0.028066540025972076,0.039495111454543506,0.04723704693841447,0.051681491382858914,0.058578043106996845,0.06780881233776608,0.07604410645541314,0.08826632867763536,0.10398061439192106,0.11218574259704928,0.11774129815260484,0.12707463148593817,0.14343826784957453,0.15943826784957454,0.1698086382199449,0.1898086382199449,0.2021163305276372,0.2085163305276372,0.22684966386097052,0.24314596015726683,0.253336436347743,0.2523019535891223,0.25430631088759725,0.2648777394590258,0.27773488231616866,0.28116199229059324,0.2820411131697141,0.29066281404947947,0.2947897981764636,0.2988023373614166,0.2895715681306473,0.2813362740130003
Erkenntnis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044444444444444444,0.012444444444444445,0.0153015873015873,0.0153015873015873,0.022574314574314577,0.02924098124098124,0.03424098124098124,0.03634624439887598,0.03634624439887598,0.03998260803523962,0.03998260803523962,0.03998260803523962,0.04361897167160325,0.04628563833826992,0.04863857951474051,0.05721000808616908,0.06084637172253271,0.06465589553205651,0.06465589553205651,0.06665589553205652,0.06951303838919937,0.07473042969354719,0.07473042969354719,0.07820869056311242,0.08392297627739813,0.0817007540551759,0.07751027786469972,0.07675839816545159,0.08209173149878493,0.07648567089272433,0.07581900422605767,0.07481900422605767,0.0774196234211041,0.08357346957495025,0.08414763225437609,0.08414763225437609
Ethical Theory and Moral Practice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.05333333333333333,0.063859649122807,0.07113237639553428,0.0851323763955343,0.09179904306220095,0.09179904306220095
